RouteCode,OriginLocationCode,DestinationLocationCode,RouteType,StandardDistanceMiles,StandardTransitHours,ActiveFlag,EffectiveStartDate
RTE001,PHX_DC,LAX_DC,Regional,372.0,7.06,1,2024-01-01
RTE002,PHX_DC,LAS_HUB,Regional,302.0,6.67,1,2024-01-01
RTE003,PHX_DC,DAL_DC,Long Haul,1065.0,22.05,1,2024-01-01
RTE004,TUS_HUB,PHX_DC,Regional,118.0,2.47,1,2024-01-01
RTE005,LAS_HUB,DEN_DC,Long Haul,748.0,13.89,1,2024-01-01
RTE006,LAX_DC,SAN_DEP,Regional,124.0,2.33,1,2024-01-01
RTE007,LAX_DC,SLC_HUB,Long Haul,690.0,12.39,1,2024-01-01
RTE008,SLC_HUB,DEN_DC,Long Haul,518.0,11.25,1,2024-01-01
RTE009,DEN_DC,KC_DEP,Long Haul,604.0,12.06,1,2024-01-01
RTE010,ABQ_HUB,DAL_DC,Long Haul,645.0,14.22,1,2024-01-01
RTE011,DAL_DC,HOU_HUB,Regional,241.0,5.06,1,2024-01-01
RTE012,DAL_DC,CHI_DC,Long Haul,968.0,18.96,1,2024-01-01
RTE013,KC_DEP,CHI_DC,Long Haul,510.0,11.25,1,2024-01-01
RTE014,CHI_DC,DEN_DC,Long Haul,1003.0,21.17,1,2024-01-01
RTE015,ATL_HUB,MIA_DC,Long Haul,664.0,12.58,1,2024-01-01
RTE016,ATL_HUB,ORL_DEP,Regional,439.0,8.52,1,2024-01-01
RTE017,DEN_DC,SEA_DC,Long Haul,1331.0,27.94,1,2024-01-01
RTE018,SEA_DC,PDX_DEP,Regional,174.0,3.34,1,2024-01-01
RTE019,HOU_HUB,ATL_HUB,Long Haul,793.0,14.49,1,2024-01-01
RTE020,CHI_DC,ATL_HUB,Long Haul,716.0,15.88,1,2024-01-01
RTE021,DAL_DC,DEN_DC,Long Haul,781.0,14.29,1,2024-01-01
RTE022,PHX_DC,ABQ_HUB,Regional,418.0,7.83,1,2024-01-01
RTE023,OMA_HUB,CHI_DC,Regional,469.0,9.56,1,2024-01-01
RTE024,DEN_DC,OMA_HUB,Long Haul,540.0,11.52,1,2024-01-01
